id_institucional,Clee,Nombre de la Unidad Econ√≥mica,nombre_empresa,C√≥digo de la clase de actividad SCIAN,actividad_economica,tamaño_empresa,Tipo de vialidad,direccion,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,N√∫mero exterior o kil√≥metro,Letra exterior,Edificio,Edificio Piso,N√∫mero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado p√∫blico",N√∫mero de local,C√≥digo Postal,Clave entidad,Entidad federativa,id_municipio,nombre_municipio,Clave localidad,municipio,Area_geoestadistica_basica,Manzana,Numero_telefonico,correo_electronico,Sitio en Internet,Tipo de establecimiento,latitude,longitude,sector
8241998,09015221123000017000004691M6,CFE SUMINISTRADOR DE SERVICIOS BASICOS,CFE SUMINISTRADOR DE SERVICIOS BASICOS ,221123,Comercializacion de energia electrica,251 personas,CALLE,RIO RODANO,CALLE,RIO ATOYAC,CALLE,RIO LERMA,CALLE,RIO ELBA,14,,EDIFICIO SEDE,PASILLO,,,COLONIA,CUAUHTEMOC,,,,6598,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,930,15,,MARTIN.MENDOZAH@CFE.MX,WWW.CFE.MX,Fijo,19.42444171,-99.17618652,2019-11
9311165,09010221111000106000041181M3,CFE TRANSMISION,CFE TRANSMISION ,221121,Transmisi√≥n de energ√≠a el√©ctrica,251 personas,CALLE,DON MANUELITO,AVENIDA,TOLUCA,CALLE,ROMULO OFARRIL,CALLE,TRANSMISIONES,32,P 2,,,,,COLONIA,OLIVAR DE LOS PADRES,,,,1780,9,CIUDAD DE M√âXICO,10,√Ålvaro Obreg√≥n,1,√Ålvaro Obreg√≥n,1186,4,,HECTOR.LIZARRAGA@DT.CFE.MX,TRANSMISION.CFE.MX,Fijo,19.33908617,-99.2142692,2020-11
9296910,09015221111000095000061158S7,COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,221122,Distribuci√≥n de energ√≠a el√©ctrica,251 personas,CALLE,RIO RODANO,CALLE,RIO RADANO,CALLE,RIO ELBA,CALLE,RIO ATOYAC,14,,,,,,COLONIA,CUAUHTEMOC,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,SN,6598,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,930,15,,DULCE.PADRON@CFE.MX,WWW.CFE.MX,Fijo,19.4244744,-99.17620384,2020-11
1026583,09015931210002927000061158S0,COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,221122,Distribuci√≥n de energ√≠a el√©ctrica,251 personas,CALLE,RIO MISSISSIPPI,OTRO(ESPECIFIQUE),RIO ATOYAC,OTRO(ESPECIFIQUE),RIO LERMA,OTRO(ESPECIFIQUE),RIO DE LA PLATA,71,,,,,,COLONIA,CUAUHTEMOC,,,,6500,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,930,9,,DULCE.PADRON@CFE.MX,WWW.CFE.MX,Fijo,19.4264053,-99.17241693,2011-03
686991,09016221110000197000061159S1,EDIFICIO SEDE DE LA DIVISION VALLE DE MEXICO CENTRO,CFE DISTRIBUCION,221122,Distribuci√≥n de energ√≠a el√©ctrica,251 personas,CALLE,LAGO ISEO,OTRO(ESPECIFIQUE),LAGUNA DE T√âRMINOS,OTRO(ESPECIFIQUE),TERCERA CERRADA LAGO SILVERIO,OTRO(ESPECIFIQUE),LAGO SILVERIO,236,,,,0,,COLONIA,ANAHUAC I SECCION,,,SN,11320,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,482,4,,OSVALDO.DELEON@CFE.MX,WWW.CFE.MX,Fijo,19.44238321,-99.18206972,2014-12
1033092,09013222111000051010000000U4,OFICINA DE SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,ZACAPA,CARRETERA,NUEVA XOCHIMILCO TULYEHUALCO,CARRETERA,XOCHIMILCO TULYEHUALCO,CALLEJON,LOS PATOS,1,,,,,,COLONIA,SANTA MARIA NATIVITAS,,,,16450,9,CIUDAD DE M√âXICO,13,Xochimilco,1,Xochimilco,423,5,,RECURSOSHIDRAHULICOS@SACMEX.CDMX.GOB.MX,,Fijo,19.24809012,-99.09437033,2010-07
9471910,09010551111000477000061158S8,OFICINAS DE COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,221123,Comercializacion de energia electrica,251 personas,BOULEVARD,BOULEVARD ADOLFO RUIZ CORTINES,AVENIDA,PASEO DEL PEDREGAL,OTRO(ESPECIFIQUE),NINGUNO,CERRADA,MANANTIAL,4156,,,,,,COLONIA,JARDINES DEL PEDREGAL,,,,1800,9,CIUDAD DE M√âXICO,10,√Ålvaro Obreg√≥n,1,√Ålvaro Obreg√≥n,1307,20,,ABRAHAM.MENDEZP@CFE.MX,WWW.CFE.MX,Fijo,19.30608817,-99.20672415,2024-05
9480800,09014551111000377000061158S2,OFICINAS DE COMISION FEDERAL DE ELECTRICIDAD,COMISION FEDERAL DE ELECTRICIDAD,221123,Comercializacion de energia electrica,251 personas,CALLE,AUGUSTO RODIN,CALLE,HOLBEIN,PRIVADA,CERRADA AGUSTO RODIN,OTRO(ESPECIFIQUE),NINGUNO,265,,,,,,COLONIA,NOCHE BUENA,,,,3720,9,CIUDAD DE M√âXICO,14,Benito Ju√°rez,1,Benito Ju√°rez,562,3,,ABRAHAM.MENDEZP@CFE.MX,WWW.CFE.MX,Fijo,19.37883038,-99.18241853,2024-05
7721203,09013221312000033000000000U7,SACMEX SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,CAMINO A NATIVITAS,CALLE,HELIOTROPO,CALLE,RIO SAN LUCAS,AVENIDA,HERMENEGILDO GALEANA,471,B,,,,,BARRIO,XALTOCAN,CENTRO Y PLAZA COMERCIAL,PLAZA MANANTIALES,1,16090,9,CIUDAD DE M√âXICO,13,Xochimilco,1,Xochimilco,334,16,,RECURSOSHIDRAHULICOS@SACMEX.CDMX.GOB.MX,,Fijo,19.25130059,-99.09915382,2019-11
970556,09003222111000045011000000U7,SISTEMA DE AGUAS,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,AVENIDA,DE XOTEPINGO,CERRADA,DE XOTEPINGO ,AVENIDA,JACARANDAS,AVENIDA,JACARANDAS,99,,,,,SN,COLONIA,CD JARDIN,,,,4370,9,CIUDAD DE M√âXICO,3,Coyoac√°n,1,Coyoac√°n,465,6,,ORC_XOTEPINGO99@HOTMAIL.COM,WWW.SACMEX.CDMX.GOB.MX,Fijo,19.3329799,-99.14437272,2010-07
6516073,09015222111000087010000000M3,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,R√≠o de la Plata,CALLE,R√≠o Atoyac,CALLE,R√≠o Lerma,EJE VIAL,3 Poniente (R√≠o Mississipi),48,,EDIFICIO SIN NOMBRE,,,,COLONIA,CUAUHTEMOC,,,,,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,930,9,,RAFAEL.CARMONA@SACMEX.CDMX.GOB.MX,HTTPS://WWW.SACMEX.CDMX.GOB.MX/,Fijo,19.42582463,-99.17363422,2016-01
1006484,09012931210001016010000000U0,UNIDAD DEPARTAMENTAL DE OPERACION DE AGUA Y DRENAJE PARA AREA CENTRO SUR,SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO ,221312,"Captacion, tratamiento y suministro de agua realizados por el sector publico",251 personas,CALLE,CONGRESO,CALLE,SAN MARCOS,CALLEJON,CONGRESO,CALLEJON,SAN MARCOS,296,,,,1,,COLONIA,TLALPAN CENTRO,,,,14000,9,CIUDAD DE M√âXICO,12,Tlalpan,1,Tlalpan,102A,12,5555731219,RECURSOSHIDRAHULICOS@SACMEX.CDMX.GOB.MX,,Fijo,19.28204381,-99.16850071,2010-07
6861322,09004236112000032001000000U5,ACCIONA INFRAESTRUCTURAS RESIDENCIALES MEXICO,ACCIONA INFRAESTRUCTURAS RESIDENCIALES MEXICO SA DE CV,236111,Edificaci√≥n de vivienda unifamiliar,251 personas,AVENIDA,HORACIO,CERRADA,HACIENDA DE LOS MORALES,CIRCUNVALACION,JUAN VAZQUEZ DE LA MELLA,CIRCUNVALACION,JUAN VAZQUEZ DE LA MELLA,1750,,EUROTEN,PISO 14,,,COLONIA,LAS TINAJAS,EDIFICIO COMERCIAL Y DE SERVICIOS,EUROTEN,SN,11510,9,CIUDAD DE M√âXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,369,4,,DAJUAREZ@ACCIONA.COM,,Fijo,19.35976187,-99.27936513,2019-04
6144390,09015236221000527001000000U9,AFAR EDIFICACIONES,AFAR EDIFICACIONES SA DE CV,236221,"Edificaci√≥n de inmuebles comerciales y de servicios, excepto la supervisi√≥n",251 personas,CALLE,PUENTE DE LA MORENA,CALLE,11 DE ABRIL,CALLE,13 DE SEPTIEMBRE,AVENIDA,PATRIOTISMO,33,,,,,,COLONIA,ESCANDON I,,,,,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,1426,17,,AFAR@AFAREDIFICA.COM,WWW.GRUPOAFAR.COM,Fijo,19.40646078,-99.17609745,2010-07
9333875,09016236221001294000000000U3,ASCH,ASCH SA DE CV,237993,Construccion de obras para transporte electrico y ferroviario,251 personas,CALLE,LAGO VICTORIA,AVENIDA,EJERCITO NACIONAL MEXICANO,AVENIDA,MIGUEL DE CERVANTES SAAVEDRA,CALLE,LAGO TANGANICA,80,,,,,,COLONIA,GRANADA,,,,,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,571,14,,MEXICO@ASCH.COM.MX,WWW.ASCH.COM.MX,Fijo,19.43629515,-99.18801378,2021-05
6862559,09016238290000097001000000U4,AVANZIA INSTALACIONES,AVANZIA INSTALACIONES SA DE CV,238290,Otras instalaciones y equipamiento en construcciones,251 personas,CALLE,JOS√â LUIS LAGRANGE,AVENIDA,HOMERO,CALLE,EJ√âRCITO NACIONAL MEXICANO,CALLE,BLAS PASCAL,103,,CORPORATIVO LAGRANGE,PISO 8,,,COLONIA,LOS MORALES POLANCO,EDIFICIO COMERCIAL Y DE SERVICIOS,CORPORATIVO LAGRANGE,8,11510,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,622,10,,JOSE.ROMERO@GRUPOCOBRA.MX,WWW.GRUPOAVANZIA.MX,Fijo,19.43845402,-99.21081242,2019-04
760896,09016561310000363011000000U3,BONATTI SPA,BONATTI SPA SA DE CV,237121,Construccion de sistemas de distribucion de petroleo y gas,251 personas,CALLE,MONTES URALES NORTE,CALLE,AVENIDA CORDILLERA DE LOS ANDES,AVENIDA,PASEO DE LAS PALMAS,CALLE,SIERRA MOJADA,115,,1Y4,PISO 5,,,COLONIA,LOMAS DE BARRILACO,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,502,11000,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,730,1,,CARLOS.GUTIERREZ@BONAATTI.IT,,Fijo,19.43123855,-99.21256067,2010-07
6867761,09010238222000102001020045M8,CALEFACCION Y VENTILACION,CALEFACCION Y VENTILACION SA DE CV,238222,Instalaciones de sistemas centrales de aire acondicionado y calefacci√≥n,251 personas,CALLE,PROLONGACION AVENIDA SAN ANTONIO-NICANOR ARVIDE,CALLE,SEBASTI√ÅN DE APARICIO,CALLE,NICANOR ARVIDE,CALLE,R√çO BECERRA,418,LOTE 2,,,,,COLONIA,MINAS DE CRISTO,,SAN JACINTO,LOTE 2,1419,9,CIUDAD DE M√âXICO,10,√Ålvaro Obreg√≥n,1,√Ålvaro Obreg√≥n,421,5,,DIEGO.PRIOUX@CYVSA.COM.MX,WWW.CYVSA.COM.MX,Fijo,19.37925471,-99.20225487,2019-04
763570,09016561110002704000000000U0,CALZADA CONSTRUCCIONES,CALZADA CONSTRUCCIONES SA DE CV,237312,"Construccion de carreteras, puentes y similares",251 personas,CALLE,LOPE DE VEGA,AVENIDA,EJERCITO NACIONAL MEXICANO,AVENIDA,HOMERO,CALLE,HEGEL,117,,EDIFICIO SIN NOMBRE,PISO 6,,,COLONIA,POLANCO V SECCION,,,,,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,660,11,,CONTACTO@GRUPOHYCSA.COM.MX,WWW.GRUPOHYCSA.COM,Fijo,19.43710505,-99.18720169,2012-06
6144668,09012237312000021000000000U6,COCONAL SAPI DE CV,COCONAL S DE RL MI,237312,"Construccion de carreteras, puentes y similares",251 personas,PERIFERICO,BOULEVARD ADOLFO RUIZ CORTINES,CALLE,BOULEVARD PICACHO AJUSCO,CALLE,PICO DE TOLIMA,OTRO(ESPECIFIQUE),NINGUNO,4249,,3,PISO 3,,,COLONIA,JARDINES EN LA MONTA√ëA,CENTRO Y PLAZA COMERCIAL,PLAZA IMAGEN,3,14210,9,CIUDAD DE M√âXICO,12,Tlalpan,1,Tlalpan,1956,24,,JLCERVANTES@COCONAL.COM,WWW.COCONAL.COM,Fijo,19.30370361,-99.20589228,2010-07
6877823,09014238990000295001000000U4,COMSA INFRAESTRUCTURAS,COMSA INFRAESTRUCTURAS SA DE CV,237993,Construccion de obras para transporte electrico y ferroviario,251 personas,AVENIDA,INSURGENTES SUR,CALLE,LUZ SAVI√ëON,CALLE,PEDRO ROMERO DE TERREROS,CALLE,JESUS URQUIAGA,664,,EDIFICIO SIN NOMBRE,PISO 9,9,,COLONIA,DEL VALLE,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO COMERCIAL Y DE SERVICIOS SIN NOMBRE,SN,,9,CIUDAD DE M√âXICO,14,Benito Ju√°rez,1,Benito Ju√°rez,219,5,,GLOPEZ@COMSA.COM,WWW.COMSA.COM,Fijo,19.39477076,-99.17226697,2019-04
6884230,09016238190000066001000000U1,CONCESIONARIA DE CARRETERAS AUTOPISTAS Y LIBRAMIENTOS DE LA REPUBLICA MEXICANA,CONCESIONARIA DE CARRETERAS AUTOPISTAS Y LIBRAMIENTOS DE LA REPUBLICA MEXICANA SA DE CV,237312,"Construccion de carreteras, puentes y similares",251 personas,AVENIDA,PASEO DE LAS PALMAS,CALLE,MONTES STANOVOI,CALLE,MONTE TABOR,CALLE,SIERRA MOJADA,781,,CARSO PALMAS,PISO 1,0,SN,COLONIA,LOMAS DE CHAPULTEPEC 3 SECCION,EDIFICIO COMERCIAL Y DE SERVICIOS,CARSO PALMAS,SN,11000,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,834,4,,ROCAMPOR@IDEAL.COM.MX,,Fijo,19.42876317,-99.21677809,2019-04
9331252,09004237111000041000000000U7,CONSORCIO DE INGENIERIA INTEGRAL,CONSORCIO DE INGENIERIA INTEGRAL SA DE CV,237111,"Construccion de obras para el tratamiento, distribucion y suministro de agua y drenaje",251 personas,AVENIDA,JAVIER BARROS SIERRA,CALLE,NINGUNO,CALLE,BOSQUE DE ALISOS,OTRO(ESPECIFIQUE),NINGUNO,540,,,,,,COLONIA,ZEDEC SANTA FE,,,,,9,CIUDAD DE M√âXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,195,1,,CPLATA@ARA.COM.MX,,Fijo,19.38749547,-99.25202664,2020-11
6771760,09004236221000162011000000U9,CONSORCIO DE INGENIEROS CONSTRUCTORES Y CONSULTORES,CONSORCIO DE INGENIEROS CONSTRUCTORES Y CONSULTORES SA DE CV,237312,"Construccion de carreteras, puentes y similares",251 personas,CALLE,PASEO DE LOS LAURELES,CALLE,BOSQUE DE TULLAS,CALLE,BOSQUE DE ZARZAS,OTRO(ESPECIFIQUE),NINGUNO,458,,HORIZONTE,PISO 9,902,,COLONIA,BOSQUES DE LAS LOMAS,,,,5120,9,CIUDAD DE M√âXICO,4,Cuajimalpa de Morelos,1,Cuajimalpa de Morelos,176,109,,CICSA@CICCSA.COM.MX,WWW.CICSAMEXICO.COM,Fijo,19.38447378,-99.26623352,2016-10
6883944,09016237999000174011000000U8,CONSTRUCCIONES DE INMUEBLES PREMIER GD,CONSTRUCCIONES DE INMUEBLES PREMIER GD SA DE CV,236221,"Edificaci√≥n de inmuebles comerciales y de servicios, excepto la supervisi√≥n",251 personas,CALLE,MONTE PELVOUX,CALLE,MONTE PELVOUX,CALLE,MONTES URALES SUR,CALLE,NINGUNO,220,,PARQUE VIRREYES,PISO 1,,,COLONIA,LOMAS DE CHAPULTEPEC I SECCION,,,,,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,995,9,,VMARTINEZ@DANHOS.COM.MX,,Fijo,19.42490733,-99.20495196,2019-04
6144812,09014236111000331001000000U2,CONSTRUCCIONES E INGENIERIA ACFHEL,CONSTRUCCIONES E INGENIERIA ACFHEL SA DE CV,236112,Edificaci√≥n de vivienda multifamiliar,251 personas,CALLE,PETEN,VIADUCTO,PRESIDENTE MIGUEL ALEMAN,CALZADA,OBRERO MUNDIAL,CALLE,TAJIN,43,,,,0,SN,COLONIA,NARVARTE,,,,3010,9,CIUDAD DE M√âXICO,14,Benito Ju√°rez,1,Benito Ju√°rez,26,13,,ACFHEL@GMAIL.COM,WWW.ACFHEL.COM,Fijo,19.40244776,-99.15193178,2010-07
6144536,09016237312000011011000000U8,CONSTRUCCIONES URALES,CONSTRUCCIONES URALES SA DE CV,237993,Construccion de obras para transporte electrico y ferroviario,251 personas,PERIFERICO,BOULEVARD MANUEL AVILA CAMACHO,CALLE,SIERRA CANDELA,AVENIDA,PASEO DE LAS PALMAS,CALLE,MONTE KAMERUN,118,,GREEN TOWER,PISO 15,0,,COLONIA,LOMAS DE CHAPULTEPEC,EDIFICIO COMERCIAL Y DE SERVICIOS,GREEN TOWER,15,11000,9,CIUDAD DE M√âXICO,16,Miguel Hidalgo,1,Miguel Hidalgo,622,4,,AORTA@COSNTRUCCIONESURALES.MX,,Fijo,19.43638668,-99.20937031,2010-07
874489,09015512190000251001018993M8,CONSTRUCCIONES Y EDIFICACIONES AL COSTO,CONSTRUCCIONES Y EDIFICACIONES AL COSTO SA DE CV,236221,"Edificaci√≥n de inmuebles comerciales y de servicios, excepto la supervisi√≥n",251 personas,EJE VIAL,4 SUR  BENJAMIN FRANKLIN,CALLE,CIENCIAS,CIRCUITO,INTERIOR  DIAGONAL PATRIOTISMO,AVENIDA,TAMAULIPAS,91,,,,3,,COLONIA,HIPODROMO CONDESA,,,SN,6170,9,CIUDAD DE M√âXICO,15,Cuauht√©moc,1,Cuauht√©moc,1411,5,,CYEC@CYEC.COM.MX,WWW.CYEC.COM.MX,Fijo,19.40617116,-99.17899183,2014-12
9338646,09014236111001661000000000U1,CONSTRUCCIONES Y TRITURACIONES,CONSTRUCCIONES Y TRITURACIONES SA DE CV,237993,Construccion de obras para transporte electrico y ferroviario,251 personas,CIRCUITO,INTERIOR AVENIDA PATRIOTISMO,CALLE,PUENTE DE LA MORENA,CALLE,11 DE ABRIL,VIADUCTO,RIO BECERRA,201,,EDIFICIO SIN NOMBRE,PISO 7,,,COLONIA,SAN PEDRO DE LOS PINOS,,,,,9,CIUDAD DE M√âXICO,14,Benito Ju√°rez,1,Benito Ju√°rez,187,26,,DANIELA.ALBARRAN@ICA.MX,,Fijo,19.39682588,-99.18083003,2021-05
